구분,화장실명,소재지도로명주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,연락처,개방시간,설치년도,소재지지번주소,LON,LAT,데이터기준일자
공중화장실,일동청소년문화의집,경기도 안산시 상록구 충장로6길 22-3 (이동),N,3,3,0,0,0,0,3,0,0,안산시장(평생교육과장),,24시간,2006-02-27,,126.8589523,37.3084191,2016-05-31
공중화장실,안산중앙병원,경기도 안산시 상록구 구룡로 87 (일동),N,91,52,1,1,0,0,91,1,0,병원장,,24시간,1985-00-00,,126.8745761,37.3175335,2016-05-31
공중화장실,메디프라자,경기도 안산시 단원구 광덕1로 63 (초지동),N,10,15,0,0,0,0,10,0,0,상가번영회,,24시간,2001-11-07,,126.8167229,37.3087757,2016-05-31
공중화장실,GS스타주유소,경기도 안산시 단원구 동산로 179 (초지동),N,0,0,2,2,0,0,0,1,0,GS칼텍스,,24시간,2001-00-00,,126.8049077,37.318488,2016-05-31
공중화장실,성호공원(2구역)이동기념관옆,경기도 안산시 상록구 안산대학로 114 (일동),N,2,4,0,0,0,0,3,0,0,안산시장(시민공원과장),,24시간,1999-00-00,,126.8703562,37.3099891,2016-05-31
공중화장실,성호공원(2구역)이동식물원,경기도 안산시 상록구 안산대학로 114 (일동),N,2,3,1,1,1,0,2,1,0,안산시장(시민공원과장),,24시간,2000-00-00,,126.8703562,37.3099891,2016-05-31
공중화장실,성호공원(2구역)이동식물원옆,경기도 안산시 상록구 안산대학로 114 (일동),N,3,7,0,0,0,0,8,0,0,안산시장(시민공원과장),,24시간,1999-00-00,,126.8703562,37.3099891,2016-05-31
공중화장실,GS세방주유소,경기도 안산시 상록구 성호로 40 (일동),N,1,1,0,0,0,0,2,0,0,개인,,24시간,1993-06-30,,126.8674686,37.3098706,2016-05-31
공중화장실,굴다리서편,경기도 안산시 상록구 양지편2길 6-20 (이동),N,1,1,0,0,0,0,1,0,0,상록구청장(도시주택과장),,24시간,2007-00-00,,126.8508365,37.3100238,2016-05-31
공중화장실,안골운동장,경기도 안산시 상록구 광덕1로 350 (이동),N,1,1,0,0,0,0,2,0,0,안산도시공사장,,24시간,2006-01-01,,126.8488672,37.3064928,2016-05-31
개방화장실,SK반월주유소,경기도 안산시 상록구 송호1길 33 (이동),N,1,2,0,0,0,0,2,0,0,개인,,24시간,1981-00-00,,126.8452443,37.3130153,2016-05-31
개방화장실,상록구노인복지회관,경기도 안산시 상록구 고잔로 162 (성포동),N,6,8,1,1,0,0,6,1,0,안산시장(사회복지과장),,24시간,1992-02-06,,126.8443125,37.3184743,2016-05-31
공중화장실,성어공원,경기도 안산시 상록구 고잔로 162 (성포동),N,1,0,0,0,0,0,1,0,0,안산시장(시민공원과장),,24시간,1996-00-00,,126.8443125,37.3184743,2016-05-31
공중화장실,성포동주민센터,경기도 안산시 상록구 충장로 468 (성포동),N,3,3,2,2,0,0,3,1,0,성포동장,,24시간,1992-00-00,,126.849448,37.3206975,2016-05-31
공중화장실,안산터미널주유소(씨엔에스),경기도 안산시 상록구 충장로 427 (성포동),N,2,2,0,0,0,0,2,0,0,씨엔에스에너지주유소,,24시간,2005-00-00,,126.8486976,37.3168041,2016-05-31
개방화장실,안산터미널,경기도 안산시 상록구 충장로 427 (성포동),N,13,16,3,3,0,0,18,2,0,㈜화성,,24시간,1995-03-00,,126.8486976,37.3168041,2016-05-31
공중화장실,홈플러스 안산점,경기도 안산시 상록구 충장로 432 (성포동),N,32,45,0,0,0,0,32,0,0,㈜삼성테스코,,24시간,2000-08-00,,126.8501002,37.3172095,2016-05-31
공중화장실,초지동주민센터(구),경기도 안산시 단원구 동산로 253 (초지동),N,1,1,2,2,0,0,1,1,0,안산시장(회계과장),,24시간,1987-02-12,,126.8085607,37.3247507,2016-05-31
공중화장실,단원종합병원,경기도 안산시 단원구 원포공원1로 20 (초지동),N,5,6,4,4,0,0,8,4,0,병원장,,24시간,2007-11-29,,126.8132427,37.3002357,2016-05-31
공중화장실,동의성단원병원,경기도 안산시 단원구 원포공원1로 20 (초지동),N,12,12,0,0,0,0,14,0,0,병원장,,24시간,2007-11-29,,126.8132427,37.3002357,2016-05-31
공중화장실,서해프라자,경기도 안산시 단원구 원포공원1로 30 (초지동),N,28,40,4,4,0,0,28,4,0,상가번영회,,24시간,2002-06-00,,126.8133171,37.301162,2016-05-31
공중화장실,신명트윈타워,경기도 안산시 단원구 원포공원1로 59 (초지동),N,20,25,5,5,0,0,20,5,0,관리사무실,,24시간,2003-11-26,,126.8112023,37.3024922,2016-05-31
공중화장실,감골도서관,경기도 안산시 상록구 감골공원안길 16-1 (사동),N,9,0,0,0,9,0,6,0,0,감골도서관장,,24시간,1997-07-31,,126.8545112,37.2926564,2016-05-31
공중화장실,사2동주민센터,경기도 안산시 상록구 감골1로 52 (사동),N,4,4,2,2,0,0,6,2,0,사2동장,,24시간,1997-11-01,,126.8518778,37.2898095,2016-05-31
공중화장실,시민시장(우),경기도 안산시 단원구 화랑로 149 (초지동),N,3,5,0,0,0,0,5,0,0,안산도시공사장,,24시간,1997-00-00,,126.8050885,37.3253722,2016-05-31
공중화장실,시민시장(좌),경기도 안산시 단원구 화랑로 149 (초지동),N,3,5,0,0,0,0,5,0,0,안산도시공사장,,24시간,1997-00-00,,126.8050885,37.3253722,2016-05-31
공중화장실,시민시장(중앙),경기도 안산시 단원구 화랑로 149 (초지동),N,2,5,1,1,0,0,3,1,0,안산도시공사장,,24시간,1997-00-00,,126.8050885,37.3253722,2016-05-31
공중화장실,장애인종합복지관,경기도 안산시 단원구 원초로 80 (초지동),N,4,0,4,4,0,0,4,4,0,안산시장(사회복지과장),,24시간,1998-12-01,,126.8065944,37.3259441,2016-05-31
개방화장실,초지종합사회복지관,경기도 안산시 단원구 원초로 76 (초지동),N,10,14,4,4,0,0,10,4,0,안산시장(복개방화장실책과장),,24시간,1999-04-19,,126.8059619,37.3262278,2016-05-31
공중화장실,새소망노인병원,경기도 안산시 상록구 선진안길 17 (사동),N,6,6,3,3,0,0,6,3,0,개인,,24시간,2001-11-08,,126.8441049,37.2812937,2016-05-31
공중화장실,감골시민홀,경기도 안산시 상록구 석호로 226 (사동),N,12,20,0,0,0,0,24,0,0,안산도시공사장,,24시간,2001-07-01,,126.855367,37.2933675,2016-05-31
공중화장실,감골운동장,경기도 안산시 상록구 석호로 226 (사동),N,2,0,0,0,3,0,2,0,0,안산도시공사장,,24시간,2006-01-01,,126.855367,37.2933675,2016-05-31
공중화장실,올림픽기념관,경기도 안산시 단원구 적금로 202 (고잔동),N,24,35,3,3,0,0,32,3,0,안산도시공사장,,24시간,1992-01-23,,126.8281889,37.3262874,2016-05-31
공중화장실,올림픽수영장,경기도 안산시 단원구 적금로 202 (고잔동),N,6,7,1,1,0,0,5,1,0,안산도시공사장,,24시간,1995-05-29,,126.8281889,37.3262874,2016-05-31
공중화장실,초지임시운동장,경기도 안산시 단원구 화랑로 260 (초지동),N,1,1,0,0,0,0,2,0,0,안산도시공사장,,24시간,2006-01-01,,126.8164939,37.319476,2016-05-31
공중화장실,화랑유원지관리실,경기도 안산시 단원구 동산로 268 (초지동),N,4,4,0,0,0,0,5,0,0,안산시장(시민공원과장),,24시간,1998-00-00,,126.813771,37.3256745,2016-05-31
공중화장실,화랑유원지A,경기도 안산시 단원구 동산로 268 (초지동),N,3,3,2,2,0,0,7,1,0,안산시장(시민공원과장),,24시간,1998-00-00,,126.813771,37.3256745,2016-05-31
공중화장실,화랑유원지B,경기도 안산시 단원구 동산로 268 (초지동),N,5,5,1,1,1,0,10,1,0,안산시장(시민공원과장),,24시간,1998-00-00,,126.813771,37.3256745,2016-05-31
공중화장실,화랑유원지C,경기도 안산시 단원구 동산로 268 (초지동),N,5,5,2,2,0,0,10,1,0,안산시장(시민공원과장),,24시간,1998-00-00,,126.813771,37.3256745,2016-05-31
공중화장실,화랑유원지D,경기도 안산시 단원구 동산로 268 (초지동),N,3,3,2,2,0,0,6,1,0,안산시장(시민공원과장),,24시간,1998-00-00,,126.813771,37.3256745,2016-05-31
공중화장실,화랑유원지E,경기도 안산시 단원구 동산로 268 (초지동),N,2,3,0,0,1,0,2,0,0,안산시장(시민공원과장),,24시간,1998-00-00,,126.813771,37.3256745,2016-05-31
공중화장실,화랑유원지F,경기도 안산시 단원구 동산로 268 (초지동),N,2,3,0,0,1,0,2,0,0,안산시장(시민공원과장),,24시간,1998-00-00,,126.813771,37.3256745,2016-05-31
개방화장실,신반월주유소,경기도 안산시 상록구 건건1길 7  (건건동),N,2,0,0,0,0,0,1,0,0,개인,,24시간,2000-00-00,,126.9030487,37.3015579,2016-05-31
공중화장실,월피동주민센터,경기도 안산시 상록구 시낭북로 4 (부곡동),N,3,6,0,0,0,0,6,0,0,월피동장,,24시간,1993-04-26,,126.8568333,37.3337031,2016-05-31
공중화장실,단원구청사,경기도 안산시 단원구 중앙대로 685 (초지동),N,9,12,0,0,0,0,10,0,0,단원구청장(행정지원과장),,24시간,2002-11-01,,126.8117548,37.3197749,2016-05-31
공중화장실,와스타디움,경기도 안산시 단원구 화랑로 260 (초지동),N,93,294,0,0,0,0,151,0,0,안산도시공사장,,24시간,2006-11-30,,126.8164939,37.319476,2016-05-31
공중화장실,상록수공원,경기도 안산시 상록구 샘골서길 64 (본오동),N,4,6,2,2,0,0,6,1,0,안산시장(시민공원과장),,24시간,2001-00-00,,126.8627404,37.2996439,2016-05-31
